source_id,target_id,source_kind,target_kind,relation,weight,evidence
T102,LAW140,Theorem,Law,explicit_reference,3,mentions T102
PROP2,LAW140,Proposition,Law,explicit_reference,3,mentions PROP2
D8662,LAW140,Definition,Law,explicit_reference,3,mentions D8662
PROP3,LAW140,Proposition,Law,explicit_reference,3,mentions PROP3
L1,LAW140,Lemma,Law,explicit_reference,3,mentions L1
D3576,LAW141,Definition,Law,explicit_reference,3,mentions D3576
PROP4,LAW141,Proposition,Law,explicit_reference,3,mentions PROP4
PROP1,LAW141,Proposition,Law,explicit_reference,3,mentions PROP1
D3042,LAW141,Definition,Law,explicit_reference,3,mentions D3042
PROP14,LAW141,Proposition,Law,explicit_reference,3,mentions PROP14
I35,LAW141,Invariant,Law,explicit_reference,3,mentions I35
PROP3,LAW141,Proposition,Law,explicit_reference,3,mentions PROP3
I87,LAW141,Invariant,Law,explicit_reference,3,mentions I87
PROP4,LAW142,Proposition,Law,explicit_reference,3,mentions PROP4
PROP1,LAW142,Proposition,Law,explicit_reference,3,mentions PROP1
PROP7,LAW142,Proposition,Law,explicit_reference,3,mentions PROP7
PROP3,LAW142,Proposition,Law,explicit_reference,3,mentions PROP3
PROP9,LAW142,Proposition,Law,explicit_reference,3,mentions PROP9
PROP8,LAW142,Proposition,Law,explicit_reference,3,mentions PROP8
PROP5,LAW142,Proposition,Law,explicit_reference,3,mentions PROP5
PROP17,LAW142,Proposition,Law,explicit_reference,3,mentions PROP17
L3,LAW143,Lemma,Law,explicit_reference,3,mentions L3
PROP4,LAW143,Proposition,Law,explicit_reference,3,mentions PROP4
PROP1,LAW143,Proposition,Law,explicit_reference,3,mentions PROP1
PROP7,LAW143,Proposition,Law,explicit_reference,3,mentions PROP7
PROP18,LAW143,Proposition,Law,explicit_reference,3,mentions PROP18
PROP3,LAW143,Proposition,Law,explicit_reference,3,mentions PROP3
PROP8,LAW143,Proposition,Law,explicit_reference,3,mentions PROP8
PROP5,LAW143,Proposition,Law,explicit_reference,3,mentions PROP5
L3,LAW144,Lemma,Law,explicit_reference,3,mentions L3
PROP4,LAW144,Proposition,Law,explicit_reference,3,mentions PROP4
D5035,LAW144,Definition,Law,explicit_reference,3,mentions D5035
PROP1,LAW144,Proposition,Law,explicit_reference,3,mentions PROP1
PROP7,LAW144,Proposition,Law,explicit_reference,3,mentions PROP7
PROP20,LAW144,Proposition,Law,explicit_reference,3,mentions PROP20
PROP3,LAW144,Proposition,Law,explicit_reference,3,mentions PROP3
PROP5,LAW144,Proposition,Law,explicit_reference,3,mentions PROP5
D1074,LAW145,Definition,Law,explicit_reference,3,mentions D1074
PROP37,LAW145,Proposition,Law,explicit_reference,3,mentions PROP37
I8,LAW145,Invariant,Law,explicit_reference,3,mentions I8
PROP36,LAW145,Proposition,Law,explicit_reference,3,mentions PROP36
D3070,LAW145,Definition,Law,explicit_reference,3,mentions D3070
D1081,LAW145,Definition,Law,explicit_reference,3,mentions D1081
D340,LAW145,Definition,Law,explicit_reference,3,mentions D340
D72,LAW146,Definition,Law,explicit_reference,3,mentions D72
D8176,LAW146,Definition,Law,explicit_reference,3,mentions D8176
PROP39,LAW146,Proposition,Law,explicit_reference,3,mentions PROP39
D1559,LAW146,Definition,Law,explicit_reference,3,mentions D1559
D28,LAW146,Definition,Law,explicit_reference,3,mentions D28
D1078,LAW146,Definition,Law,explicit_reference,3,mentions D1078
D344,LAW146,Definition,Law,explicit_reference,3,mentions D344
D26,LAW146,Definition,Law,explicit_reference,3,mentions D26
PROP38,LAW146,Proposition,Law,explicit_reference,3,mentions PROP38
D7626,LAW147,Definition,Law,explicit_reference,3,mentions D7626
D7625,LAW147,Definition,Law,explicit_reference,3,mentions D7625
D7627,LAW147,Definition,Law,explicit_reference,3,mentions D7627
D5349,LAW147,Definition,Law,explicit_reference,3,mentions D5349
PROP41,LAW147,Proposition,Law,explicit_reference,3,mentions PROP41
D7628,LAW147,Definition,Law,explicit_reference,3,mentions D7628
I24,LAW147,Invariant,Law,explicit_reference,3,mentions I24
PROP43,LAW147,Proposition,Law,explicit_reference,3,mentions PROP43
PROP42,LAW147,Proposition,Law,explicit_reference,3,mentions PROP42
PROP33,LAW147,Proposition,Law,explicit_reference,3,mentions PROP33
L3,D2089,Lemma,Definition,explicit_reference,3,mentions L3
L4,D2089,Lemma,Definition,explicit_reference,3,mentions L4
L5,D2089,Lemma,Definition,explicit_reference,3,mentions L5
L2,D2089,Lemma,Definition,explicit_reference,3,mentions L2
L1,D2089,Lemma,Definition,explicit_reference,3,mentions L1
L6,D2089,Lemma,Definition,explicit_reference,3,mentions L6
L3,D2827,Lemma,Definition,explicit_reference,3,mentions L3
L2,D2827,Lemma,Definition,explicit_reference,3,mentions L2
L6,D2827,Lemma,Definition,explicit_reference,3,mentions L6
L5,D2827,Lemma,Definition,explicit_reference,3,mentions L5
L4,D2827,Lemma,Definition,explicit_reference,3,mentions L4
L1,D2827,Lemma,Definition,explicit_reference,3,mentions L1
D1,D5484,Definition,Definition,explicit_reference,3,mentions D1
D2,D5484,Definition,Definition,explicit_reference,3,mentions D2
D3,D5492,Definition,Definition,explicit_reference,3,mentions D3
D1,D5492,Definition,Definition,explicit_reference,3,mentions D1
D3,D5534,Definition,Definition,explicit_reference,3,mentions D3
D1,D5534,Definition,Definition,explicit_reference,3,mentions D1
D2,D5574,Definition,Definition,explicit_reference,3,mentions D2
L2,D8519,Lemma,Definition,explicit_reference,3,mentions L2
L2,D8520,Lemma,Definition,explicit_reference,3,mentions L2
T4,D8705,Theorem,Definition,explicit_reference,3,mentions T4
T4,D8706,Theorem,Definition,explicit_reference,3,mentions T4
T4,D8707,Theorem,Definition,explicit_reference,3,mentions T4
A2,D8732,Axiom,Definition,explicit_reference,3,mentions A2
I3,D8738,Invariant,Definition,explicit_reference,3,mentions I3
D7989,T1,Definition,Theorem,semantic_overlap,2,"tokens: \mathcal, \pi, equation, expressing, fourier, spectral, terms, transform"
D7833,T1,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, scale, terms"
D7982,T1,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, fourier, spectral, terms, transform"
D6295,T1,Definition,Theorem,semantic_overlap,2,"tokens: \mathcal, equation, expressing, fourier, spectral, terms, transform"
D1441,T1,Definition,Theorem,semantic_overlap,2,"tokens: \frac, \pi, equation, expressing, terms"
L1,T1,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L2,T1,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L3,T1,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP1,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathrm, equation, expressing, terms"
PROP3,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP4,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, \pi, equation, expressing, terms"
PROP5,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \approx, \sim, equation"
PROP6,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP7,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, equation, expressing, flux, mode, wave"
PROP8,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, are, equation, expressing, fourier, mode, spectral, terms"
PROP9,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \pi, equation, mode, wavelength"
PROP10,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \pi, equation, mode, wavelength"
PROP11,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, \pi, equation, expressing, flux, terms"
PROP12,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP15,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, equation, expressing, flux, mode, wave"
PROP16,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, are, equation, expressing, fourier, mode, spectral, terms"
PROP17,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP18,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP19,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP20,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP21,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathcal, equation"
PROP24,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathcal, equation, expressing, terms"
PROP25,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \pi, equation, expressing, mode, scale, terms, wavelength"
PROP26,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \pi, equation, expressing, mode, scale, terms, wavelength"
PROP27,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP28,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathrm, \sim, equation, expressing, terms"
PROP29,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP30,T1,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
D8011,T2,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, magnitude, order, relation, scaling, terms"
D8016,T2,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, magnitude, order, relation, scaling, terms"
D8010,T2,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, magnitude, order, relation, scaling, terms"
D6782,T2,Definition,Theorem,semantic_overlap,2,"tokens: \approx, equation, expressing, magnitude, order, relation, scaling"
D5521,T2,Definition,Theorem,semantic_overlap,2,"tokens: \approx, equation, expressing, magnitude, order, relation, scaling, terms"
L1,T2,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L2,T2,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L3,T2,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, magnitude, order, relation, scaling, terms"
PROP1,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP3,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP4,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP6,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, helicity, terms"
PROP7,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, geometric, order"
PROP8,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, order, relation, terms"
PROP9,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, geometric, relation, total"
PROP10,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, geometric, relation"
PROP11,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, relation, terms"
PROP12,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, helicity, relation, states"
PROP14,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, invariant, total"
PROP15,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, geometric, order"
PROP16,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, order, relation, terms"
PROP19,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, helicity, invariant"
PROP21,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, helicity, relation, states"
PROP23,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, relation, total"
PROP24,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, relation, terms, total"
PROP25,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, geometric, relation, terms"
PROP26,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, geometric, relation, terms"
PROP27,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, states, terms"
PROP28,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, geometric, magnitude, order, relation, scaling, terms"
PROP29,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, states, terms"
PROP30,T2,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, states, terms"
D2215,T3,Definition,Theorem,semantic_overlap,2,"tokens: \dagger, \mathrm, \mu, \partial_, _info, bound, complementary, conservation"
D7926,T3,Definition,Theorem,semantic_overlap,2,"tokens: differential, equation, expressing, terms"
D5485,T3,Definition,Theorem,semantic_overlap,2,"tokens: differential, equation, expressing, terms"
D1781,T3,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, info, terms"
D1839,T3,Definition,Theorem,semantic_overlap,2,"tokens: equation, expressing, terms"
L1,T3,Lemma,Theorem,result_to_result_overlap,1,"tokens: entropy, equation, expressing, terms, topological"
L2,T3,Lemma,Theorem,result_to_result_overlap,1,"tokens: entropy, equation, expressing, terms, topological"
L3,T3,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
PROP1,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, differential, equation, expressing, terms"
PROP3,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, bound, equation, expressing, space, terms"
PROP4,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP6,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: differential, equation, expressing, terms"
PROP7,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: boundary, differential, equation, expressing"
PROP8,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: boundary, equation, expressing, terms"
PROP9,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, phase, through, total"
PROP10,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, phase, space, through"
PROP11,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP14,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, protection, topological, total"
PROP15,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: boundary, equation, expressing"
PROP16,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: boundary, equation, expressing, terms"
PROP23,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, holographic, through, total"
PROP24,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, holographic, terms, through, total"
PROP25,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, phase, space, terms"
PROP26,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, phase, space, terms"
PROP27,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP28,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, phase, terms"
PROP29,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, expressing, terms"
PROP30,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, bound, equation, expressing, terms"
PROP45,T3,Proposition,Theorem,result_to_result_overlap,1,"tokens: liouville, phase, space, volume"
D890,T4,Definition,Theorem,semantic_overlap,2,"tokens: \left, \mathcal, \mathrm, \right, equation, out, tzp"
D534,T4,Definition,Theorem,semantic_overlap,2,"tokens: \left, \mathcal, \mathrm, \right, equation, out, tzp"
D881,T4,Definition,Theorem,semantic_overlap,2,"tokens: \left, \mathcal, \mathrm, \right, equation, out, tzp"
D542,T4,Definition,Theorem,semantic_overlap,2,"tokens: \left, \mathcal, \mathrm, \right, equation, implies, out, text\"
D546,T4,Definition,Theorem,semantic_overlap,2,"tokens: \left, \mathcal, \mathrm, \right, equation, implies, out, text\"
PROP7,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP8,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP9,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP12,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, \right, equation"
PROP13,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP15,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP16,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \right, equation"
PROP17,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, equation"
PROP18,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, equation"
PROP19,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, \right, equation"
PROP20,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, equation"
PROP21,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathcal, \right, equation"
PROP27,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, entanglement, equation"
PROP28,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \left, \mathrm, \right, equation"
PROP29,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, entanglement, equation"
PROP30,T4,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, entanglement, equation"
D1020,T5,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \end, \frac, \iota_, \mathrm, \omega, \partial, \qquad"
D1024,T5,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \end, \frac, \iota_, \mathrm, \omega, \partial, \qquad"
D3515,T5,Definition,Theorem,semantic_overlap,2,"tokens: \frac, \mathrm, \partial, \qquad, \text, derivative, equation, evolution"
D3527,T5,Definition,Theorem,semantic_overlap,2,"tokens: \iota_, \mathrm, \omega, defined, equation, expressing, field, hamiltonian"
D4548,T5,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \end, \frac, \partial, derivative, equation, evolution, expressing"
L1,T5,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L2,T5,Lemma,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, terms"
L3,T5,Lemma,Theorem,result_to_result_overlap,1,"tokens: \text, equation, expressing, terms"
L4,T5,Lemma,Theorem,result_to_result_overlap,1,"tokens: are, coordinates, equation"
PROP1,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, \mathrm, equation, expressing, terms"
PROP2,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathrm, equation, field, hamiltonian, vector"
PROP3,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, any, equation, expressing, terms"
PROP4,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, equation, expressing, terms"
PROP5,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \omega, \text, equation"
PROP6,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: equation, expressing, ext, field, terms"
PROP7,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \partial, equation, expressing"
PROP8,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \partial, \text, are, equation"
PROP9,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \text, equation"
PROP10,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \text, equation"
PROP11,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, equation, expressing, terms"
PROP12,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \frac, equation, evolution"
PROP13,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation"
PROP14,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation, evolution, hamiltonian"
PROP15,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \partial, derivative, equation, expressing"
PROP16,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \partial, are, equation, expressing"
PROP17,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation, hamiltonian"
PROP18,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation"
PROP19,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation, hamiltonian"
PROP20,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \text, equation"
PROP21,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \frac, equation, evolution, ext"
PROP23,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \text, equation, evolution, given"
PROP24,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation, evolution, expressing, given, terms"
PROP25,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \text, equation, expressing, terms"
PROP26,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \omega, \text, equation, expressing, terms"
PROP27,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, any, equation, expressing, terms, then"
PROP28,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \frac, \mathrm, equation, expressing, field, hamiltonian"
PROP29,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, any, equation, expressing, terms, then"
PROP30,T5,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathrm, any, equation, expressing, terms, then"
D286,T6,Definition,Theorem,semantic_overlap,2,"tokens: \cong, \mathcal, adjoint, correspondence, decomposition, equation, field, forward"
D1210,T6,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \cat, \end, \in, \mathcal, \rightarrow, \text, adjoint"
D1214,T6,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \cat, \end, \in, \mathcal, \rightarrow, \text, adjoint"
D1215,T6,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \cat, \end, \in, \mathcal, \rightarrow, \text, adjoint"
D3562,T6,Definition,Theorem,semantic_overlap,2,"tokens: \begin, \cat, \end, \in, \mathcal, \rightarrow, \text, adjoint"
PROP3,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation, functor"
PROP4,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation"
PROP5,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP7,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, decomposition, equation, harmonic"
PROP8,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, decomposition, equation, field, harmonic, harmonics"
PROP9,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP10,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP11,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation"
PROP13,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP14,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP15,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, decomposition, equation, harmonic"
PROP16,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, decomposition, equation, field, harmonic, harmonics"
PROP17,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathcal, \text, equation"
PROP18,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathcal, \text, equation"
PROP19,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathcal, \text, equation"
PROP20,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathcal, \text, equation"
PROP21,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \mathcal, equation"
PROP22,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \mathcal, equation, functor"
PROP23,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \mathcal, \text, decomposition, equation, harmonic"
PROP24,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \mathcal, \text, adjoint, decomposition, equation, functor"
PROP25,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP26,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, \text, equation"
PROP27,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation, such"
PROP28,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation, field"
PROP29,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation, such"
PROP30,T6,Proposition,Theorem,result_to_result_overlap,1,"tokens: \begin, \end, equation, such"
D286,T7,Definition,Theorem,semantic_overlap,2,"tokens: \cong, \mathcal, adjoint, correspondence, decomposition, equation, field, forward"
