symbol,meaning,meaning_source,confidence,occurrence_count,id_count,sample_ids,sample_titles,sample_context,wolfram_symbol
c,"speed of light or generic constant, context dependent",standard_physics,medium,2111,1252,ID0057; ID0111; ID0113; ID0128; ID0138; ID0139; ID0151; ID0152; ID0153; ID0167; ID0172; ID0179; ID0201; ID0205; ID0208; ID0210; ID0211; ID0228; ID0232; ID0233,Quantum Phase Transitions | Resonant Holographic Spiral | Helical Spacetime Embedding Axiom | Optical Electrostriction Effect | S^3 Universe Topology,Quantum Phase Transitions \Delta(g_{c}) = 0 || \xi \sim |g-g_{c}|^{-\nu},c
phi,"field, phase, or golden-ratio quantity",context_rule,low,2053,808,ID0000; ID0005; ID0012; ID0018; ID0019; ID0029; ID0032; ID0033; ID0034; ID0049; ID0050; ID0051; ID0055; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0120,Existence and Uniqueness of the Trawin Zero Point | TZP Stability Under Symmetry-Preserving Diffeomorphisms | Field Coherence Metric | Trawinistic Laplacian | Trawinistic D'Alembertian,"Existence and Uniqueness of the Trawin Zero Point \lim_{\tau\to\infty}\gamma(\tau)=p,",phi
N,Normalization or null constraint,seed:TrawinisticSymbols.wls,high,2009,981,ID0028; ID0069; ID0115; ID0117; ID0119; ID0120; ID0144; ID0171; ID0201; ID0203; ID0238; ID0245; ID0269; ID0284; ID0299; ID0302; ID0309; ID0327; ID0341; ID0343,Constraint: TZP Torsion Localisation | Spinor and Spin-Network Representations | Kuramoto Planetary Spin Model | Spin-Coherence Order Parameter | Planetary Spin Synchronization Limitations,"Constraint: TZP Torsion Localisation T(\nabla^{\mathrm{T}})=0 \qquad (x\neq p) || \int_{\mathcal N} T^{a}{}_{bc}\,d^{n}x = N^{a}{}_{bc}",N
cdot,"Hamiltonian, energy, or field strength depending on context",context_rule,low,2003,1049,ID0011; ID0020; ID0041; ID0043; ID0068; ID0092; ID0102; ID0176; ID0202; ID0206; ID0213; ID0215; ID0217; ID0219; ID0235; ID0242; ID0246; ID0258; ID0262; ID0265,Causal Loop Invariant | Trawinistic Winding Number | Topological Helicity Quantisation | Helicity Linking Number Universality | Berry Phase and Geometric Phase Effects,Causal Loop Invariant I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\},cdot
I,Information integral across a manifold,seed:TrawinisticSymbols.wls,high,1971,866,ID0026; ID0063; ID0064; ID0074; ID0100; ID0102; ID0128; ID0271; ID0277; ID0283; ID0295; ID0312; ID0333; ID0349; ID0350; ID0351; ID0396; ID0399; ID0428; ID0460,Conservation Law: Information Flux Through TZP | Measurement Back-Action | Observer-Dependent Quantum States | Completely Positive Trace-Preserving Maps | Information Synchronization at the TZP,"Conservation Law: Information Flux Through TZP \frac{dI}{dt}=0 || I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu}\, d\Sigma_{\mu}",I
rho,"density or density matrix, context dependent",standard_physics,medium,1965,722,ID0038; ID0039; ID0040; ID0061; ID0063; ID0073; ID0074; ID0094; ID0096; ID0105; ID0108; ID0123; ID0128; ID0183; ID0200; ID0202; ID0219; ID0221; ID0237; ID0238,Elsasser Attractor Manifold | Magnetic–Coriolis Energy Equipartition | Universality of Elsasser Criticality | Environment-Induced Superselection | Measurement Back-Action,"Elsasser Attractor Manifold \Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda \approx 1",rho
S,"Hamiltonian, energy, or field strength depending on context",context_rule,low,1897,864,ID0031; ID0032; ID0033; ID0034; ID0065; ID0069; ID0071; ID0075; ID0076; ID0090; ID0091; ID0092; ID0094; ID0095; ID0105; ID0107; ID0113; ID0114; ID0130; ID0138,Hamilton–Jacobi Equation (Trawinistic Form) | Action Functional on Trawinistic Manifolds | Principle of Least Action (TZP Variant) | Field Equations on a Trawinistic Manifold | Entanglement Structure,"Hamilton–Jacobi Equation (Trawinistic Form) \frac{\partial S}{\partial t} \;+\; \mathcal{H}_{\mathrm{T}} \!\left( q,\frac{\partial S}{\partial q},t \right) =0 || p=\frac{\partial S}{\partial q}",S
O,neutrino-sector quantity,context_rule,low,1787,526,ID0045; ID0062; ID0078; ID0083; ID0091; ID0092; ID0104; ID0155; ID0203; ID0283; ID0295; ID0403; ID0411; ID0412; ID0413; ID0415; ID0418; ID0429; ID0484; ID0500,Dimensionless Gyromagnetic Coupling Constant | Quantum Noise Spectra | Quantum Criticality | TZP Constraints at Quantum Scale | SO(3) × U(1) Configuration Bundle,Dimensionless Gyromagnetic Coupling Constant g_{\mu} = \frac{\mu}{M R^{2}\Omega} || g_{\mu} = \mathcal{O}(1),O
omega,vacuum-sector quantity,context_rule,low,1751,782,ID0015; ID0024; ID0036; ID0049; ID0053; ID0062; ID0076; ID0077; ID0087; ID0088; ID0093; ID0126; ID0127; ID0146; ID0173; ID0190; ID0208; ID0211; ID0221; ID0223,Spectral Density Index (TZP-Weighted) | TZP Vacuum Energy Density | Vacuum Fluctuation Operator (TZP) | Zero-Point Fluctuations | Quantum Harmonic Oscillator (TZP-Modified),"Spectral Density Index (TZP-Weighted) \eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}} || \omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})",omega
D,vacuum-sector quantity,context_rule,low,1715,770,ID0019; ID0047; ID0048; ID0105; ID0108; ID0159; ID0169; ID0171; ID0174; ID0175; ID0202; ID0215; ID0217; ID0222; ID0246; ID0337; ID0339; ID0340; ID0344; ID0370,Trawinistic D'Alembertian | Bayesian Evidence Accumulation Framework | Falsifiability as Core Design Constraint | Master Synchronization Functional | Relative-Entropy Constraint,Trawinistic D'Alembertian \Box_{\mathrm{T}}\phi = g_{\mathrm{reg}}^{ab} \nabla^{\mathrm{T}}_{a} \nabla^{\mathrm{T}}_{b}\phi || g_{\mathrm{reg}}^{ab} = \left(g^{-1}\right)_{\mathrm{reg}}^{ab},D
that,curvature/geometric quantity depending on context,context_rule,low,1707,1266,ID0000; ID0002; ID0005; ID0006; ID0009; ID0011; ID0016; ID0017; ID0040; ID0042; ID0046; ID0067; ID0068; ID0071; ID0082; ID0089; ID0095; ID0100; ID0107; ID0135,Existence and Uniqueness of the Trawin Zero Point | Trawinistic Manifold | TZP Stability Under Symmetry-Preserving Diffeomorphisms | Trawin Base Unit | Hyper-Dimensional Span,"Existence and Uniqueness of the Trawin Zero Point \lim_{\tau\to\infty}\gamma(\tau)=p,",that
E,vacuum-sector quantity,context_rule,low,1696,722,ID0050; ID0066; ID0069; ID0073; ID0074; ID0084; ID0085; ID0088; ID0096; ID0100; ID0112; ID0125; ID0128; ID0161; ID0162; ID0179; ID0273; ID0283; ID0310; ID0311,Quantum Fields on Curved Manifolds | Multipartite Entanglement FractalNodes | Spinor and Spin-Network Representations | Quantum Channels and Maps | Completely Positive Trace-Preserving Maps,Quantum Fields on Curved Manifolds \phi \in \Gamma(E \to M) || \left(\nabla^{\mu}\nabla_{\mu} + m^{2} + \xi R\right)\phi = 0,E
π,pi; circle constant,standard_math,medium,1645,1148,ID0020; ID0021; ID0029; ID0043; ID0051; ID0056; ID0097; ID0098; ID0099; ID0110; ID0111; ID0112; ID0113; ID0114; ID0131; ID0132; ID0133; ID0135; ID0137; ID0138,Trawinistic Winding Number | Trawin Characteristic Class | Trawinistic Hamiltonian Density | Helicity Linking Number Universality | Zero-Point Fluctuations,Trawinistic Winding Number w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z},Pi
M,"Hamiltonian, energy, or field strength depending on context",context_rule,low,1643,738,ID0000; ID0001; ID0002; ID0003; ID0005; ID0009; ID0011; ID0013; ID0017; ID0021; ID0029; ID0031; ID0032; ID0033; ID0044; ID0045; ID0050; ID0063; ID0069; ID0071,Existence and Uniqueness of the Trawin Zero Point | Tzp Trawin Zero Point | Trawinistic Manifold | Dimensional Ambiguity at TZP | TZP Stability Under Symmetry-Preserving Diffeomorphisms,"Existence and Uniqueness of the Trawin Zero Point \lim_{\tau\to\infty}\gamma(\tau)=p,",M
field,vacuum-sector quantity,context_rule,low,1549,1109,ID0008; ID0009; ID0014; ID0026; ID0029; ID0032; ID0033; ID0034; ID0042; ID0050; ID0055; ID0083; ID0088; ID0090; ID0094; ID0128; ID0146; ID0150; ID0161; ID0167,Non-Linearity Constant K_NL | Hyper-Dimensional Span | Inter-Modal Transfer Rate | Conservation Law: Information Flux Through TZP | Trawinistic Hamiltonian Density,Non-Linearity Constant K_NL K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},field
L,vacuum-sector quantity,context_rule,low,1509,619,ID0014; ID0029; ID0032; ID0037; ID0042; ID0056; ID0068; ID0072; ID0079; ID0085; ID0086; ID0093; ID0094; ID0114; ID0136; ID0158; ID0159; ID0171; ID0179; ID0189,Inter-Modal Transfer Rate | Trawinistic Hamiltonian Density | Action Functional on Trawinistic Manifolds | Emergent Rotation Principle | Magnetic Helicity as Scale-Invariant Constraint,"Inter-Modal Transfer Rate T_{\mathrm{IM}} = \frac{1}{u_{T}} \int_{\Sigma} \phi_{m_{1}}^{*}\, \mathcal{L}_{T}\, \phi_{m_{2}}\, d\Sigma || \Sigma \cap \{p\} = \varnothing",L
at,vacuum-sector quantity,context_rule,low,1483,1089,ID0002; ID0003; ID0017; ID0022; ID0027; ID0028; ID0048; ID0049; ID0051; ID0057; ID0083; ID0100; ID0105; ID0131; ID0140; ID0145; ID0146; ID0159; ID0163; ID0165,Trawinistic Manifold | Dimensional Ambiguity at TZP | Trawinistic Connection | TZP Curvature Singularity | Constraint: Trawinistic Metric Compatibility,"Trawinistic Manifold (M,g)\ \text{is Trawinistic} \quad \Longleftrightarrow \quad \det g\vert_{p}=0 \ \text{and}\ \det g(x)\neq 0 \ \text{for}\ x\neq p || g^{-1}(x)\ \text{exists for}\ x\neq p, \qquad g^{-1}\vert_{p}\ \text{does not exist}",at
partial,"Hamiltonian, energy, or field strength depending on context",context_rule,low,1440,486,ID0029; ID0031; ID0033; ID0034; ID0055; ID0081; ID0107; ID0114; ID0122; ID0123; ID0128; ID0129; ID0144; ID0145; ID0246; ID0262; ID0311; ID0344; ID0361; ID0368,Trawinistic Hamiltonian Density | Hamilton–Jacobi Equation (Trawinistic Form) | Principle of Least Action (TZP Variant) | Field Equations on a Trawinistic Manifold | Boundary-Induced Quantum Effects,"Trawinistic Hamiltonian Density \mathcal{H}_{\mathrm{T}} = \pi\,\dot{\phi} -\mathcal{L}_{\mathrm{T}} || \pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}}",partial
F,vacuum-sector quantity,context_rule,low,1401,593,ID0021; ID0079; ID0089; ID0095; ID0109; ID0136; ID0137; ID0155; ID0162; ID0174; ID0212; ID0215; ID0216; ID0253; ID0291; ID0315; ID0324; ID0352; ID0355; ID0362,Trawin Characteristic Class | Quantum Chaos Indicators | FractalNodes Category-Theoretic Isomorphism Across Scales | Natural Transformation Preserving Symplectic Structure | Fibonacci Sequence,"Trawin Characteristic Class c_{T} = \left[\frac{1}{2\pi}F\right] \in H^{2}(M\setminus\{p\},\mathbb{Z}) || \operatorname{hol}(\mathcal{A}) = w",F
P,DNA/biological-sector quantity,context_rule,low,1382,555,ID0047; ID0048; ID0067; ID0091; ID0123; ID0128; ID0135; ID0136; ID0140; ID0145; ID0163; ID0175; ID0215; ID0216; ID0229; ID0284; ID0302; ID0303; ID0307; ID0314,Bayesian Evidence Accumulation Framework | Falsifiability as Core Design Constraint | Topological Quantum States | SO(3) × U(1) Configuration Bundle | Radial Pressure Gradient and Acceleration Field,Bayesian Evidence Accumulation Framework \frac{P(H_{i}\mid D)}{P(H_{j}\mid D)} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})} \frac{P(H_{i})}{P(H_{j})} || B_{ij} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})},P
delta,vacuum-sector quantity,context_rule,low,1335,638,ID0027; ID0033; ID0034; ID0035; ID0048; ID0051; ID0052; ID0053; ID0062; ID0080; ID0105; ID0146; ID0149; ID0158; ID0170; ID0179; ID0202; ID0229; ID0257; ID0337,Constraint: Trawinistic Metric Compatibility | Principle of Least Action (TZP Variant) | Field Equations on a Trawinistic Manifold | Quantum Field Propagator (TZP Background) | Falsifiability as Core Design Constraint,"Constraint: Trawinistic Metric Compatibility \nabla^{\mathrm{T}} g = 0 \qquad (x\neq p) || \nabla^{\mathrm{T}} g = C\,\delta(x,p) \qquad (x=p)",delta
nabla,vacuum-sector quantity,context_rule,low,1335,599,ID0008; ID0017; ID0018; ID0019; ID0020; ID0025; ID0027; ID0028; ID0032; ID0034; ID0050; ID0052; ID0096; ID0105; ID0167; ID0185; ID0202; ID0206; ID0251; ID0314,Non-Linearity Constant K_NL | Trawinistic Connection | Trawinistic Laplacian | Trawinistic D'Alembertian | Trawinistic Winding Number,Non-Linearity Constant K_NL K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},nabla
alpha,"Hamiltonian, energy, or field strength depending on context",context_rule,low,1285,520,ID0092; ID0105; ID0107; ID0121; ID0253; ID0257; ID0324; ID0364; ID0366; ID0368; ID0376; ID0396; ID0416; ID0434; ID0440; ID0456; ID0463; ID0544; ID0545; ID0556,Semi-Direct Product of Rotation and Gauge Symmetry | Master Synchronization Functional | Topological Entanglement Entropy Operator | Optimal Vortex Inflow Angle | Infinite-Order Phase Transition,"Semi-Direct Product of Rotation and Gauge Symmetry G = SO(3) \ltimes_{\varphi} U(1) || (R,e^{i\alpha})\cdot(R',e^{i\beta}) = \left(RR', e^{i\alpha}\,\varphi_R(e^{i\beta})\right)",alpha
on,vacuum-sector quantity,context_rule,low,1275,959,ID0011; ID0012; ID0019; ID0029; ID0030; ID0032; ID0033; ID0034; ID0050; ID0052; ID0054; ID0057; ID0067; ID0068; ID0069; ID0077; ID0079; ID0080; ID0084; ID0088,Causal Loop Invariant | Field Coherence Metric | Trawinistic D'Alembertian | Trawinistic Hamiltonian Density | TZP-Modified Hamiltonian Operator,Causal Loop Invariant I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\},on
Psi,state or wavefunction quantity,context_rule,low,1217,506,ID0030; ID0126; ID0202; ID0230; ID0327; ID0374; ID0383; ID0384; ID0404; ID0486; ID0527; ID0533; ID0561; ID0576; ID0599; ID0620; ID0699; ID0907; ID0920; ID0936,TZP-Modified Hamiltonian Operator | Electrohydrodynamic Resonance Operator | Cymatic Field Restructuring Chain | Bessel Interference Pattern of Emergent Matter | Quantum Vortex Circulation Quantization,"TZP-Modified Hamiltonian Operator H_{\mathrm{T}}\lvert\Psi\rangle = \int_{\Sigma}\mathcal{H}_{\mathrm{T}}\,d\Sigma\;\lvert\Psi\rangle || \Sigma \cap \{p\} = \varnothing",Psi
phase,vacuum-sector quantity,context_rule,low,1172,755,ID0011; ID0020; ID0057; ID0093; ID0095; ID0097; ID0119; ID0120; ID0132; ID0133; ID0144; ID0147; ID0148; ID0165; ID0177; ID0178; ID0194; ID0219; ID0222; ID0228,Causal Loop Invariant | Trawinistic Winding Number | Quantum Phase Transitions | Phase Space Topology Preservation | Natural Transformation Preserving Symplectic Structure,Causal Loop Invariant I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\},phase
G,"Newton gravitational constant, tensor, or group, context dependent",standard_physics,medium,1148,578,ID0066; ID0089; ID0092; ID0106; ID0131; ID0150; ID0153; ID0154; ID0166; ID0167; ID0172; ID0178; ID0183; ID0184; ID0212; ID0278; ID0283; ID0299; ID0311; ID0314,Multipartite Entanglement FractalNodes | FractalNodes Category-Theoretic Isomorphism Across Scales | Semi-Direct Product of Rotation and Gauge Symmetry | Phase-Coherence Matrix | Gaussian Window Insertion Operator,"Multipartite Entanglement FractalNodes G = (V,E,w) || w_{ij} = \mathcal{E}_{ij}",G
This,vacuum-sector quantity,context_rule,low,1124,1009,ID0010; ID0012; ID0035; ID0036; ID0042; ID0045; ID0049; ID0052; ID0053; ID0060; ID0062; ID0065; ID0079; ID0080; ID0088; ID0094; ID0096; ID0100; ID0105; ID0106,Stochastic Drift Magnitude | Field Coherence Metric | Quantum Field Propagator (TZP Background) | Vacuum Fluctuation Operator (TZP) | Magnetic Helicity as Scale-Invariant Constraint,Stochastic Drift Magnitude \sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \left\langle (\Delta x)^{2} \right\rangle || \Delta x = x(t+\Delta t)-x(t),This
energy,vacuum-sector quantity,context_rule,low,1094,783,ID0024; ID0026; ID0053; ID0083; ID0100; ID0105; ID0112; ID0114; ID0140; ID0151; ID0152; ID0162; ID0167; ID0168; ID0169; ID0170; ID0172; ID0173; ID0178; ID0179,TZP Vacuum Energy Density | Conservation Law: Information Flux Through TZP | Quantum Harmonic Oscillator (TZP-Modified) | TZP Constraints at Quantum Scale | Information Synchronization at the TZP,"TZP Vacuum Energy Density \rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})",energy
hbar,reduced Planck constant,standard_physics,medium,1074,585,ID0024; ID0036; ID0049; ID0051; ID0072; ID0076; ID0080; ID0084; ID0136; ID0139; ID0172; ID0202; ID0206; ID0210; ID0219; ID0221; ID0262; ID0266; ID0309; ID0311,TZP Vacuum Energy Density | Vacuum Fluctuation Operator (TZP) | Zero-Point Fluctuations | Zero-Point Fluctuations | Continuous-Variable Quantum Systems,"TZP Vacuum Energy Density \rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})",hbar
Omega,"angular frequency, invariant, or topological charge, context dependent",corpus_inferred,medium,1047,524,ID0038; ID0039; ID0040; ID0044; ID0045; ID0055; ID0219; ID0237; ID0241; ID0247; ID0268; ID0274; ID0276; ID0303; ID0304; ID0311; ID0319; ID0344; ID0368; ID0369,Elsasser Attractor Manifold | Magnetic–Coriolis Energy Equipartition | Universality of Elsasser Criticality | (μ ∝ M R^2Ω) Universal Scaling Law | Dimensionless Gyromagnetic Coupling Constant,"Elsasser Attractor Manifold \Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda \approx 1",Omega
