status,reason,segment_count,parsed_segments,parse_errors,parsed_math,macro_boundary,first_error,ID,title,canonical_equation
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(Delta*x, -x(t) + x(Delta*t + t))",,"\sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \langle (\De -> LaTeXParsingError: I don't understand this
\sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \langle (\Delta x)^{2} \rangle
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0010,Stochastic Drift Magnitude,\sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \left\langle (\Delta x)^{2} \right\rangle || \Delta x = x(t+\Delta t)-x(t)
Passed,,2,2.0,0,"Eq(I_{mathrm*(C*L)}, dx*(A*oint_{Gamma})) || Eq(dA, 0*(M*(p*setminus)))","Eq(I_{mathrm*(C*L)}, dx*(A*oint_{Gamma})) || Eq(dA, 0*(M*(p*setminus)))",,ID0011,Causal Loop Invariant,I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\}
Syntax Error,"C(\phi_{1},\phi_{2}) = \frac{|\langle \phi_{1},\phi_{2}\rangle|} {\|\phi_{1}\| \ -> LaTeXParsingError: I don't understand this
C(\phi_{1},\phi_{2}) = \frac{|\langle \phi_{1},\phi_{2}\rangle|} {\|\phi_{1}\| \|\phi_{2}\|}
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^ | \|\phi\| = \sqrt{\langle \phi,\phi\rangle} -> LaTeXParsingError: I don't understand this
\|\phi\| = \sqrt{\langle \phi,\phi\rangle}
^",2,,2,,,,ID0012,Field Coherence Metric,"C(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} {\|\phi_{1}\|\,\|\phi_{2}\|} || \|\phi\| = \sqrt{\langle \phi,\phi\rangle}"
Passed,,2,2.0,0,"P_{mathrm*(n*(u*(l*l)))}/((M*T_{p})) || Eq(P_{mathrm*(n*(u*(l*l)))}(v), begin*(v*(c*(a*(s*(e*s))))))","P_{mathrm*(n*(u*(l*l)))}/((M*T_{p})) || Eq(P_{mathrm*(n*(u*(l*l)))}(v), begin*(v*(c*(a*(s*(e*s))))))",,ID0013,Null Space Projection,"P_{\mathrm{null}} : T_{p}M \to T_{p}M || P_{\mathrm{null}}(v) = \begin{cases} v, & g(v,w)=0 \text{ for all } w \in T_{p}M,\\ 0, & \text{otherwise.} \end{cases}"
Passed,,2,2.0,0,"Eq(T_{mathrm*(I*M)}, 1/u_{T}) || Eq(Sigma*(cap*p), varnothing)","Eq(T_{mathrm*(I*M)}, 1/u_{T}) || Eq(Sigma*(cap*p), varnothing)",,ID0014,Inter-Modal Transfer Rate,"T_{\mathrm{IM}} = \frac{1}{u_{T}} \int_{\Sigma} \phi_{m_{1}}^{*}\, \mathcal{L}_{T}\, \phi_{m_{2}}\, d\Sigma || \Sigma \cap \{p\} = \varnothing"
Passed,,2,2.0,0,"Eq(eta(omega), e**((-omega)/omega_{0})/omega**beta) || Eq(omega_{0}, omega_{0}(u_{T}))","Eq(eta(omega), e**((-omega)/omega_{0})/omega**beta) || Eq(omega_{0}, omega_{0}(u_{T}))",,ID0015,Spectral Density Index (TZP-Weighted),"\eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}} || \omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})"
Passed,,2,2.0,0,"Eq(R_{T}, Limit(bigl(bigr*f(x) + R(x)), x, p, dir='+-')) || R_{T} < oo*(Longleftrightarrow*(Gamma*(Lambda*sim)))","Eq(R_{T}, Limit(bigl(bigr*f(x) + R(x)), x, p, dir='+-')) || R_{T} < oo*(Longleftrightarrow*(Gamma*(Lambda*sim)))",,ID0016,Manifold Curvature (TZP Condition),R_{T} = \lim_{x \to p}\bigl(R(x)+f(x)\bigr) || R_{T} < \infty \quad \Longleftrightarrow \quad \Gamma \sim \Lambda
Passed,,3,3.0,0,"Eq(g*nabla**(T*mathrm), 0*p) || Eq(T(nabla**(T*mathrm)), 0*p) || big*nabla**(T*mathrm)","Eq(g*nabla**(T*mathrm), 0*p) || Eq(T(nabla**(T*mathrm)), 0*p) || big*nabla**(T*mathrm)",,ID0017,Trawinistic Connection,"\nabla^{\mathrm{T}} g = 0 \qquad \text{away from } p || T(\nabla^{\mathrm{T}})=0 \qquad \text{away from } p || \nabla^{\mathrm{T}}\big\vert_{\det g \neq 0} = \nabla^{\mathrm{LC}}, \qquad \nabla^{\mathrm{T}} n = 0 \ \text{for}\ n \in \operatorname{Null}_{p}(M)"
Passed,,2,2.0,0,"Eq(Delta_{T*mathrm}*phi, nabla**(T*mathrm)*(nabla_{T*mathrm}**a*phi)) || Eq(nabla_{T*mathrm}**a, g_{mathrm*(r*(e*g))}**(a*b)*nabla**(T*mathrm))","Eq(Delta_{T*mathrm}*phi, nabla**(T*mathrm)*(nabla_{T*mathrm}**a*phi)) || Eq(nabla_{T*mathrm}**a, g_{mathrm*(r*(e*g))}**(a*b)*nabla**(T*mathrm))",,ID0018,Trawinistic Laplacian,"\Delta_{\mathrm{T}}\phi = \nabla^{\mathrm{T}}_{a} \nabla_{\mathrm{T}}^{\,a}\phi || \nabla_{\mathrm{T}}^{\,a} = g_{\mathrm{reg}}^{ab}\nabla^{\mathrm{T}}_{b}"
Passed,,2,2.0,0,"Eq(Box_{T*mathrm}*phi, g_{mathrm*(r*(e*g))}**(a*b)*(nabla**(T*mathrm)*(nabla**(T*mathrm)*phi))) || Eq(g_{mathrm*(r*(e*g))}**(a*b), 1/g)","Eq(Box_{T*mathrm}*phi, g_{mathrm*(r*(e*g))}**(a*b)*(nabla**(T*mathrm)*(nabla**(T*mathrm)*phi))) || Eq(g_{mathrm*(r*(e*g))}**(a*b), 1/g)",,ID0019,Trawinistic D'Alembertian,\Box_{\mathrm{T}}\phi = g_{\mathrm{reg}}^{ab} \nabla^{\mathrm{T}}_{a} \nabla^{\mathrm{T}}_{b}\phi || g_{\mathrm{reg}}^{ab} = \left(g^{-1}\right)_{\mathrm{reg}}^{ab}
Passed,,2,2.0,0,"Eq(w, dell*((oint_{Gamma}*(nabla*theta))/((2*pi)))) || w*(in*((Z*mathbb)/2))","Eq(w, dell*((oint_{Gamma}*(nabla*theta))/((2*pi)))) || w*(in*((Z*mathbb)/2))",,ID0020,Trawinistic Winding Number,w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z}
Passed,,2,2.0,0,"Eq(c_{T}, (F/((2*pi)))*(H**2*in)) || Eq(operatorname*((A*mathcal)*(h*(l*o))), w)","Eq(c_{T}, (F/((2*pi)))*(H**2*in)) || Eq(operatorname*((A*mathcal)*(h*(l*o))), w)",,ID0021,Trawin Characteristic Class,"c_{T} = \left[\frac{1}{2\pi}F\right] \in H^{2}(M\setminus\{p\},\mathbb{Z}) || \operatorname{hol}(\mathcal{A}) = w"
Passed,,2,2.0,0,"Eq(Limit(R_{T}(x), x, p, dir='+-'), oo) || Eq(R_{T}(x), Limit(bigl(bigr*f(y) + R(y)), y, x, dir='+-'))","Eq(Limit(R_{T}(x), x, p, dir='+-'), oo) || Eq(R_{T}(x), Limit(bigl(bigr*f(y) + R(y)), y, x, dir='+-'))",,ID0022,TZP Curvature Singularity,\lim_{x\to p} R_{T}(x) = \infty || R_{T}(x)=\lim_{y\to x}\bigl(R(y)+f(y)\bigr)
Passed,,2,2.0,0,"Eq(V_{T}(x), lambda*exp(-d(x, p)/u_{T})) || Eq(V_{T}(p), lambda)","Eq(V_{T}(x), lambda*exp(-d(x, p)/u_{T})) || Eq(V_{T}(p), lambda)",,ID0023,TZP Potential Term,"V_{T}(x) = \lambda \exp\!\left( -\frac{d(x,p)}{u_{T}} \right) || V_{T}(p)=\lambda"
Passed,,2,2.0,0,"Eq(rho_{mathrm*(v*(a*c))}**T, Integral((hbar*omega)*eta(omega), (omega, 0, omega_{mathrm*(c*(t*u))}))/(u_{T}**4)) || Eq(omega_{mathrm*(c*(t*u))}, omega_{mathrm*(c*(t*u))}(S_{mathrm*(D*H)}))","Eq(rho_{mathrm*(v*(a*c))}**T, Integral((hbar*omega)*eta(omega), (omega, 0, omega_{mathrm*(c*(t*u))}))/(u_{T}**4)) || Eq(omega_{mathrm*(c*(t*u))}, omega_{mathrm*(c*(t*u))}(S_{mathrm*(D*H)}))",,ID0024,TZP Vacuum Energy Density,"\rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(J**mu*nabla**(T*mathrm), 0)","Eq(J**mu*nabla**(T*mathrm), 0)","Q = \int_{\Sigma} J^{\mu} d\Sigma_{\mu} -> LaTeXParsingError: I don't understand this
Q = \int_{\Sigma} J^{\mu} d\Sigma_{\mu}
~~~~~~~~~~~~~~~~~~^",ID0025,Conservation Law: TZP Topological Charge,"Q = \int_{\Sigma} J^{\mu}\, d\Sigma_{\mu} || \nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, \qquad Q=w"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(Derivative(I, t), 0)",,"I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu} d\Sigma_{\mu} -> LaTeXParsingError: I don't understand this
I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu} d\Sigma_{\mu}
~~~~~~~~~~~~~~~~~~^",ID0026,Conservation Law: Information Flux Through TZP,"\frac{dI}{dt}=0 || I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu}\, d\Sigma_{\mu}"
Passed,,2,2.0,0,"Eq(g*nabla**(T*mathrm), 0) || Eq(g*nabla**(T*mathrm), C*delta(x, p))","Eq(g*nabla**(T*mathrm), 0) || Eq(g*nabla**(T*mathrm), C*delta(x, p))",,ID0027,Constraint: Trawinistic Metric Compatibility,"\nabla^{\mathrm{T}} g = 0 \qquad (x\neq p) || \nabla^{\mathrm{T}} g = C\,\delta(x,p) \qquad (x=p)"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(T(nabla**(T*mathrm)), 0)","Eq(T(nabla**(T*mathrm)), 0)","\int_{\mathcal N} T^{a}{}_{bc} d^{n}x = N^{a}{}_{bc} -> LaTeXParsingError: I don't understand this
\int_{\mathcal N} T^{a}{}_{bc} d^{n}x = N^{a}{}_{bc}
~~~~~~~~~~~~~~~~~~^",ID0028,Constraint: TZP Torsion Localisation,"T(\nabla^{\mathrm{T}})=0 \qquad (x\neq p) || \int_{\mathcal N} T^{a}{}_{bc}\,d^{n}x = N^{a}{}_{bc}"
Partial Parse,Some segments need cleanup,2,1.0,1,H*mathcal,H*mathcal,"\pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}} -> LaTeXParsingError: I expected one of these: '}'
\pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}}
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0029,Trawinistic Hamiltonian Density,"\mathcal{H}_{\mathrm{T}} = \pi\,\dot{\phi} -\mathcal{L}_{\mathrm{T}} || \pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}}"
Passed,,2,2.0,0,"H_{T*mathrm}*(Psi*lvert) || Eq(Sigma*(cap*p), varnothing)","H_{T*mathrm}*(Psi*lvert) || Eq(Sigma*(cap*p), varnothing)",,ID0030,TZP-Modified Hamiltonian Operator,"H_{\mathrm{T}}\lvert\Psi\rangle = \int_{\Sigma}\mathcal{H}_{\mathrm{T}}\,d\Sigma\;\lvert\Psi\rangle || \Sigma \cap \{p\} = \varnothing"
Passed,,2,2.0,0,"H*mathcal + Derivative(S, t) || Eq(p, Derivative(S, q))","H*mathcal + Derivative(S, t) || Eq(p, Derivative(S, q))",,ID0031,Hamilton–Jacobi Equation (Trawinistic Form),"\frac{\partial S}{\partial t} \;+\; \mathcal{H}_{\mathrm{T}} \!\left( q,\frac{\partial S}{\partial q},t \right) =0 || p=\frac{\partial S}{\partial q}"
Partial Parse,Some segments need cleanup,2,1.0,1,L*mathcal,L*mathcal,"S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} \bigl( \phi,\nabla^{\mathrm{T}}\phi, -> LaTeXParsingError: missing '^' at '\mathcal'
S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} \bigl( \phi,\nabla^{\mathrm{T}}\phi,g \bigr) d^{n}x
~~~~~~~~~~~~~~~~~~~^",ID0032,Action Functional on Trawinistic Manifolds,"S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} \bigl( \phi,\nabla^{\mathrm{T}}\phi,g \bigr)\, d^{n}x || \mathcal{L}_{\mathrm{T}} = \mathcal{L}_{\mathrm{kin}} \;+\; \mathcal{L}_{\mathrm{pot}} \;+\; \mathcal{L}_{\mathrm{curv}}"
Passed,,2,2.0,0,"Eq(delta*(S*phi), 0) || Eq(phi*(big*vert_{M*partial}), phi_{0})","Eq(delta*(S*phi), 0) || Eq(phi*(big*vert_{M*partial}), phi_{0})",,ID0033,Principle of Least Action (TZP Variant),\delta S[\phi] = 0 || \phi\big\vert_{\partial M} = \phi_{0}
Passed,,2,2.0,0,"Eq((S*delta)/((delta*phi)), 0) || C*mathcal + (nabla**(T*mathrm)*(nabla**(mathrm*(T*a))*phi) + Derivative(V_{T}, phi))","Eq((S*delta)/((delta*phi)), 0) || C*mathcal + (nabla**(T*mathrm)*(nabla**(mathrm*(T*a))*phi) + Derivative(V_{T}, phi))",,ID0034,Field Equations on a Trawinistic Manifold,\frac{\delta S}{\delta \phi}=0 || \nabla^{\mathrm{T}}_{a}\nabla^{\mathrm{T}a}\phi \;+\; \frac{\partial V_{T}}{\partial \phi} \;+\; \mathcal{C}_{\mathrm{curv/tors}} =0
Passed,,2,2.0,0,"Eq(Box_{T*mathrm}*G_{T*mathrm}(x, x'), -delta(x, x')) || (sim/e**V_{T}(x, x'))*G_{T*mathrm}(x, x')","Eq(Box_{T*mathrm}*G_{T*mathrm}(x, x'), -delta(x, x')) || (sim/e**V_{T}(x, x'))*G_{T*mathrm}(x, x')",,ID0035,Quantum Field Propagator (TZP Background),"\Box_{\mathrm{T}}\,G_{\mathrm{T}}(x,x') = -\delta(x,x') || G_{\mathrm{T}}(x,x') \sim e^{-V_{T}(x,x')}"
Passed,,2,2.0,0,"V*mathcal || Eq(omega_{0}, omega_{0}*bigl(bigr*eta))","V*mathcal || Eq(omega_{0}, omega_{0}*bigl(bigr*eta))",,ID0036,Vacuum Fluctuation Operator (TZP),"\mathcal{V}_{\mathrm{T}}\phi_{\omega} = \sqrt{\frac{\hbar\omega}{2}}\, \phi_{\omega}\, \coth\!\left( \frac{\omega}{2\omega_{0}} \right) || \omega_{0}=\omega_{0}\bigl(\eta\bigr)"
Syntax Error,"L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr) d^{3}x -> LaTeXParsingError: missing '^' at '\bigl'
L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr) d^{3}x
~~~~~~~~~~~~~^ | \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr) d^{3}x -> LaTeXParsingError: missing '^' at '\bigl'
\frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr) d^{3}x
~~~~~~~~~~~~~~~~~~~~~~~~~^",2,,2,,,,ID0037,Emergent Rotation Principle,"L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x || \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x"
Passed,,2,2.0,0,"Eq(Lambda, B**2/((rho*(Omega**2*mu)))) || Lambda*(approx*1)","Eq(Lambda, B**2/((rho*(Omega**2*mu)))) || Lambda*(approx*1)",,ID0038,Elsasser Attractor Manifold,"\Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda \approx 1"
Passed,,2,2.0,0,"Eq(B**2/((2*mu)), rho(Omega*r)**2/2) || Eq(E_{mathrm*(m*(a*g))}, E_{mathrm*(r*(o*t))})","Eq(B**2/((2*mu)), rho(Omega*r)**2/2) || Eq(E_{mathrm*(m*(a*g))}, E_{mathrm*(r*(o*t))})",,ID0039,Magnetic–Coriolis Energy Equipartition,\frac{B^{2}}{2\mu} = \frac{1}{2}\rho(\Omega r)^{2} || E_{\mathrm{mag}} = E_{\mathrm{rot}}
Passed,,2,2.0,0,"Eq(Lambda, B**2/((rho*(Omega**2*mu)))) || Lambda_{mathrm*(c*(r*(i*t)))}*(approx*1)","Eq(Lambda, B**2/((rho*(Omega**2*mu)))) || Lambda_{mathrm*(c*(r*(i*t)))}*(approx*1)",,ID0040,Universality of Elsasser Criticality,"\Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda_{\mathrm{crit}} \approx 1"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(H, Phi*w)","Eq(H, Phi*w)","H = \int_{V}\mathbf{A}\cdot\mathbf{B} d^{3}x -> LaTeXParsingError: missing '^' at '\mathbf'
H = \int_{V}\mathbf{A}\cdot\mathbf{B} d^{3}x
~~~~~~~~~~~~^",ID0041,Topological Helicity Quantisation,"H = \int_{V}\mathbf{A}\cdot\mathbf{B}\,d^{3}x || H = w\,\Phi, \qquad w \in \mathbb{Z}"
Passed,,2,2.0,0,"Eq(chi_{H}, H/((B**2*L))) || Eq(chi_{H}, mathrm)","Eq(chi_{H}, H/((B**2*L))) || Eq(chi_{H}, mathrm)",,ID0042,Magnetic Helicity as Scale-Invariant Constraint,\chi_{H} = \frac{H}{B^{2}L} || \chi_{H} = \mathrm{const.}
Passed,,2,2.0,0,operatorname*(L*k) || operatorname*(L*k),operatorname*(L*k) || operatorname*(L*k),,ID0043,Helicity Linking Number Universality,"\operatorname{Lk}(C_{1},C_{2}) = \frac{1}{4\pi} \oint_{C_{1}}\oint_{C_{2}} \frac{(\mathbf{r}_{1}-\mathbf{r}_{2})\cdot \left(d\mathbf{r}_{1}\times d\mathbf{r}_{2}\right)} {\lvert \mathbf{r}_{1}-\mathbf{r}_{2} \rvert^{3}} || \operatorname{Lk}(C_{1},C_{2}) \in \mathbb{Z}"
Passed,,2,2.0,0,"Eq(mu, k*(M*(Omega*R**2))) || k*(approx*mathrm)","Eq(mu, k*(M*(Omega*R**2))) || k*(approx*mathrm)",,ID0044,(μ ∝ M R^2Ω) Universal Scaling Law,"\mu = k\,M R^{2}\Omega || k \approx \mathrm{const.}"
Passed,,2,2.0,0,"Eq(g_{mu}, mu/((M*(Omega*R**2)))) || Eq(g_{mu}, mathcal*(O*1))","Eq(g_{mu}, mu/((M*(Omega*R**2)))) || Eq(g_{mu}, mathcal*(O*1))",,ID0045,Dimensionless Gyromagnetic Coupling Constant,g_{\mu} = \frac{\mu}{M R^{2}\Omega} || g_{\mu} = \mathcal{O}(1)
Passed,,2,2.0,0,"Eq(R*mathcal, Q/Q') || Abs(log(R*mathcal, 10)) <= 1","Eq(R*mathcal, Q/Q') || Abs(log(R*mathcal, 10)) <= 1",,ID0046,Order-Of-Magnitude Invariance Across 47 Orders of Scale,\mathcal{R} = \frac{Q}{Q'} || \left|\log_{10}\mathcal{R}\right| \leq 1
Passed,,2,2.0,0,"Eq(P(H_{i}*(D*mid))/P(H_{j}*(D*mid)), (P(H_{i})/P(H_{j}))*(P(D*(H_{i}*mid))/P(D*(H_{j}*mid)))) || Eq(B_{i*j}, P(D*(H_{i}*mid))/P(D*(H_{j}*mid)))","Eq(P(H_{i}*(D*mid))/P(H_{j}*(D*mid)), (P(H_{i})/P(H_{j}))*(P(D*(H_{i}*mid))/P(D*(H_{j}*mid)))) || Eq(B_{i*j}, P(D*(H_{i}*mid))/P(D*(H_{j}*mid)))",,ID0047,Bayesian Evidence Accumulation Framework,\frac{P(H_{i}\mid D)}{P(H_{j}\mid D)} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})} \frac{P(H_{i})}{P(H_{j})} || B_{ij} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})}
Passed,,2,2.0,0,"Ne((D*exists)/P(D*(H*mid)), P(D*(mid*(H*neg)))) || Abs(P(D*(H*mid)) - P(D*(mid*(H*neg)))) >= delta","Ne((D*exists)/P(D*(H*mid)), P(D*(mid*(H*neg)))) || Abs(P(D*(H*mid)) - P(D*(mid*(H*neg)))) >= delta",,ID0048,Falsifiability as Core Design Constraint,\exists D: \quad P(D\mid H) \neq P(D\mid \neg H) || \left|P(D\mid H) - P(D\mid \neg H)\right| \geq \delta
Partial Parse,Some segments need cleanup,2,1.0,1,omega_{mathrm*(c*(t*u))} < oo,omega_{mathrm*(c*(t*u))} < oo,"\langle \phi^{2} \rangle = \int_{0}^{\omega_{\mathrm{cut}}} \frac{\hbar}{2\omega -> LaTeXParsingError: I expected one of these: '|' '\right|'
\langle \phi^{2} \rangle = \int_{0}^{\omega_{\mathrm{cut}}} \frac{\hbar}{2\omega} \eta(\omega) d\omega
~~~~~~~~~~~~~~~~~^",ID0049,Zero-Point Fluctuations,"\langle \phi^{2} \rangle = \int_{0}^{\omega_{\mathrm{cut}}} \frac{\hbar}{2\omega}\, \eta(\omega)\,d\omega || \omega_{\mathrm{cut}} < \infty"
Passed,,2,2.0,0,"phi*(Gamma*in) || Eq(phi*(R*xi + (m**2 + nabla**mu*nabla_{mu})), 0)","phi*(Gamma*in) || Eq(phi*(R*xi + (m**2 + nabla**mu*nabla_{mu})), 0)",,ID0050,Quantum Fields on Curved Manifolds,\phi \in \Gamma(E \to M) || \left(\nabla^{\mu}\nabla_{\mu} + m^{2} + \xi R\right)\phi = 0
